OTU ID	Samp_1	Samp_2	Samp_3	Samp_4	Samp_5	Samp_6	Samp_7	Samp_8	Samp_9	Samp_10	Samp_11	Samp_12	Samp_13	Samp_14	Samp_15	Samp_16	Samp_17	Samp_18	Samp_19	Samp_20	Samp_21	Samp_22	Samp_23	Samp_24	Samp_25	Samp_26	Samp_27	Samp_28	Samp_29	Samp_30	Samp_31	Samp_32	Samp_33	Samp_34	Samp_35	Samp_36	Samp_37	Samp_38	Samp_39	Samp_40	Samp_41	Samp_42	Samp_43	Samp_44	Samp_45	Samp_46	Samp_47	Samp_48	Samp_49	Samp_50	Samp_51	Samp_52	Samp_53	Samp_54	Samp_55	Samp_56	Samp_57	Samp_58	Samp_59	Samp_60	Samp_61	Samp_62	Samp_63	Samp_64	Samp_65	Samp_66	Samp_67	Samp_68	Samp_69	Samp_70	Samp_71	Samp_72	Samp_73	Samp_74	Samp_75	Samp_76	Samp_77	Samp_78	Samp_79	Samp_80	Samp_81	Samp_82	Samp_83	Samp_84	Samp_85	Samp_86	Samp_87	Samp_88	Samp_89	Samp_90	Samp_91	Samp_92	Samp_93	Samp_94	Samp_95	Samp_96	Taxon
OTU_1	37	3835	4229	3577	0	0	0	0	93	64	74	48	68	0	0	25	0	3770	2656	2031	2923	41	126	0	45	0	117	71	67	142	21	0	0	97	0	908	1818	1713	1661	0	0	0	0	142	0	39	92	95	0	0	0	22	3166	1995	1953	0	2419	0	0	16	0	78	81	100	74	0	69	0	0	0	1281	1821	1589	1784	0	22	0	0	0	50	52	78	80	0	0	0	0	1648	2106	1433	1738	1867	0	0	0	0	Unassigned; ; ; ; ; ; 
OTU_2	30	3588	3816	3357	0	0	45	0	85	69	67	56	82	0	0	32	0	3538	2555	2020	2780	0	130	25	43	0	101	60	75	138	21	0	0	90	0	870	1680	1536	1586	0	17	0	0	103	0	35	100	98	26	0	0	0	3100	1937	1963	0	2366	23	0	0	25	58	61	91	74	0	72	0	0	21	1292	1781	1621	1652	22	0	19	0	0	47	74	81	65	0	0	0	0	1602	2073	1343	1596	1696	20	27	0	36	D_0__Bacteria; D_1__Spirochaetes; D_2__Leptospirae; D_3__Leptospirales; D_4__Leptospiraceae; D_5__uncultured; D_6__uncultured spirochete
OTU_3	45	3382	3752	3233	0	0	0	0	80	59	83	32	56	0	0	36	0	3387	2628	1868	2655	0	120	0	36	0	114	75	75	135	11	0	0	90	0	789	1674	1560	1534	32	0	15	0	126	0	38	78	83	0	0	0	0	2886	1692	1850	0	2231	0	0	0	0	54	63	99	71	0	73	0	0	0	1232	1660	1383	1429	0	0	0	0	0	42	70	82	65	0	0	0	0	1485	1927	1456	1615	1642	0	0	0	0	D_0__Bacteria; D_1__Spirochaetes; D_2__Leptospirae; D_3__Leptospirales; D_4__Leptospiraceae; D_5__uncultured; D_6__uncultured spirochete
OTU_4	34	3162	3475	3207	23	0	25	0	78	66	68	49	78	0	0	29	0	3434	2287	1762	2686	0	115	0	42	0	103	58	66	114	14	0	0	79	0	765	1605	1428	1429	0	0	0	0	96	0	47	77	77	0	0	0	0	2811	1728	1651	0	2120	0	0	0	0	48	88	88	74	0	70	0	0	0	1134	1622	1438	1417	0	0	0	0	0	38	61	52	61	0	0	0	16	1429	1777	1185	1524	1457	0	0	24	0	D_0__Bacteria; D_1__Spirochaetes; D_2__Leptospirae; D_3__Leptospirales; D_4__Leptospiraceae; D_5__uncultured; D_6__uncultured spirochete
OTU_5	65	0	0	0	1574	1662	1917	1595	48	84	31	55	33	629	347	315	193	0	0	0	0	1476	55	977	985	749	35	31	40	389	186	173	120	102	85	0	0	0	0	2371	971	489	689	28	190	306	37	48	936	190	235	168	0	0	0	343	0	1690	771	1188	1277	105	59	85	89	347	134	427	601	671	0	0	0	0	621	942	1526	329	253	38	138	82	171	2513	1386	232	1098	0	0	0	0	0	560	3304	774	901	D_0__Bacteria; D_1__Spirochaetes; D_2__Leptospirae; D_3__Leptospirales; D_4__Leptospiraceae; D_5__uncultured; D_6__uncultured spirochete
OTU_6	70	0	0	0	1476	1552	1831	1629	26	79	29	43	32	632	318	262	167	0	0	0	0	1408	70	1065	921	700	26	26	46	437	156	190	119	73	98	0	0	0	0	2272	947	419	698	26	165	299	0	52	866	213	177	164	0	0	0	334	0	1557	744	1158	1229	98	58	103	93	351	133	382	508	601	0	0	0	0	624	887	1513	327	239	40	115	73	154	2439	1402	257	1096	0	0	0	0	0	609	3269	790	1112	D_0__Bacteria; D_1__Spirochaetes; D_2__Leptospirae; D_3__Leptospirales; D_4__Leptospiraceae; D_5__uncultured; D_6__uncultured spirochete
OTU_7	59	0	0	0	1405	1355	1778	1457	46	55	42	61	36	653	336	252	149	0	0	0	0	1335	74	863	865	670	29	19	54	397	173	166	116	80	87	0	0	0	0	2360	978	427	648	26	141	284	28	38	852	167	193	145	0	0	0	322	0	1496	742	1075	1129	86	38	93	68	340	110	339	544	624	0	0	0	0	599	852	1384	292	223	52	109	81	134	2411	1189	262	1007	0	0	0	0	0	584	3259	719	855	D_0__Bacteria; D_1__Spirochaetes; D_2__Leptospirae; D_3__Leptospirales; D_4__Leptospiraceae; D_5__uncultured; 
OTU_8	49	2110	2308	2024	0	0	0	27	36	32	61	30	46	0	0	0	0	2148	1450	1167	1701	0	76	0	26	0	64	42	47	85	0	0	0	43	0	507	1018	945	975	0	0	0	29	59	0	22	45	44	0	0	0	0	1841	1096	1169	0	1390	0	29	0	0	28	43	49	49	0	59	0	0	0	753	1037	990	983	0	0	0	0	25	42	42	33	33	0	0	0	0	939	1201	809	1011	1052	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Xanthomonadales; D_4__Xanthomonadaceae; D_5__Pseudoxanthomonas; 
OTU_9	36	0	0	0	946	943	1049	945	35	30	22	26	18	387	185	175	88	0	0	0	0	845	40	624	607	413	20	0	34	221	92	98	54	59	45	0	0	0	0	1396	590	262	369	0	120	170	11	29	545	130	144	96	0	0	0	194	0	893	508	706	725	49	38	49	38	192	59	216	327	401	0	0	0	0	393	537	859	165	129	24	66	48	89	1552	799	129	641	0	0	0	0	0	318	1918	434	1236	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Xanthomonadales; D_4__Xanthomonadaceae; D_5__Pseudoxanthomonas; 
OTU_10	160	1132	1009	1073	0	0	53	9	410	289	388	161	263	0	0	95	0	689	501	520	646	0	503	0	125	10	396	289	323	525	44	0	0	358	0	342	506	422	297	5	0	8	0	634	0	232	440	389	0	0	0	0	825	784	536	0	646	0	0	33	0	347	341	382	332	0	185	0	0	0	327	350	364	253	0	24	0	0	0	552	423	452	777	49	0	31	0	595	1052	422	450	419	29	44	40	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Xanthomonadales; D_4__Xanthomonadaceae; D_5__Pseudoxanthomonas; 
OTU_11	648	0	0	0	21	0	45	16	686	793	958	512	840	0	0	184	0	0	0	0	27	9	1320	0	181	0	1106	1362	964	1353	28	0	0	1289	0	0	0	0	0	0	0	0	0	1055	0	1039	874	854	0	0	0	0	0	0	32	0	48	5	0	0	0	883	731	290	875	0	350	0	0	0	0	0	0	0	0	0	0	0	6	836	919	864	1581	0	0	0	0	0	0	0	0	0	0	0	11	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; D_6__uncultured bacterium
