SampleID	Strain	Time	Experimental_condition	Replicate
Samp_1	A	T0	Control	1
Samp_2	A	T0	Control	2
Samp_3	A	T0	Control	3
Samp_4	A	T0	Control	4
Samp_5	B	T0	Control	1
Samp_6	B	T0	Control	2
Samp_7	B	T0	Control	3
Samp_8	B	T0	Control	4
Samp_9	C	T0	Control	1
Samp_10	C	T0	Control	2
Samp_11	C	T0	Control	3
Samp_12	C	T0	Control	4
Samp_13	D	T0	Control	1
Samp_14	D	T0	Control	2
Samp_15	D	T0	Control	3
Samp_16	D	T0	Control	4
Samp_17	A	T0	Treatment	1
Samp_18	A	T0	Treatment	2
Samp_19	A	T0	Treatment	3
Samp_20	A	T0	Treatment	4
Samp_21	B	T0	Treatment	1
Samp_22	B	T0	Treatment	2
Samp_23	B	T0	Treatment	3
Samp_24	B	T0	Treatment	4
Samp_25	C	T0	Treatment	1
Samp_26	C	T0	Treatment	2
Samp_27	C	T0	Treatment	3
Samp_28	C	T0	Treatment	4
Samp_29	D	T0	Treatment	1
Samp_30	D	T0	Treatment	2
Samp_31	D	T0	Treatment	3
Samp_32	D	T0	Treatment	4
Samp_33	A	T1	Control	1
Samp_34	A	T1	Control	2
Samp_35	A	T1	Control	3
Samp_36	A	T1	Control	4
Samp_37	B	T1	Control	1
Samp_38	B	T1	Control	2
Samp_39	B	T1	Control	3
Samp_40	B	T1	Control	4
Samp_41	C	T1	Control	1
Samp_42	C	T1	Control	2
Samp_43	C	T1	Control	3
Samp_44	C	T1	Control	4
Samp_45	D	T1	Control	1
Samp_46	D	T1	Control	2
Samp_47	D	T1	Control	3
Samp_48	D	T1	Control	4
Samp_49	A	T1	Treatment	1
Samp_50	A	T1	Treatment	2
Samp_51	A	T1	Treatment	3
Samp_52	A	T1	Treatment	4
Samp_53	B	T1	Treatment	1
Samp_54	B	T1	Treatment	2
Samp_55	B	T1	Treatment	3
Samp_56	B	T1	Treatment	4
Samp_57	C	T1	Treatment	1
Samp_58	C	T1	Treatment	2
Samp_59	C	T1	Treatment	3
Samp_60	C	T1	Treatment	4
Samp_61	D	T1	Treatment	1
Samp_62	D	T1	Treatment	2
Samp_63	D	T1	Treatment	3
Samp_64	D	T1	Treatment	4
Samp_65	A	TE	Control	1
Samp_66	A	TE	Control	2
Samp_67	A	TE	Control	3
Samp_68	A	TE	Control	4
Samp_69	B	TE	Control	1
Samp_70	B	TE	Control	2
Samp_71	B	TE	Control	3
Samp_72	B	TE	Control	4
Samp_73	C	TE	Control	1
Samp_74	C	TE	Control	2
Samp_75	C	TE	Control	3
Samp_76	C	TE	Control	4
Samp_77	D	TE	Control	1
Samp_78	D	TE	Control	2
Samp_79	D	TE	Control	3
Samp_80	D	TE	Control	4
Samp_81	A	TE	Treatment	1
Samp_82	A	TE	Treatment	2
Samp_83	A	TE	Treatment	3
Samp_84	A	TE	Treatment	4
Samp_85	B	TE	Treatment	1
Samp_86	B	TE	Treatment	2
Samp_87	B	TE	Treatment	3
Samp_88	B	TE	Treatment	4
Samp_89	C	TE	Treatment	1
Samp_90	C	TE	Treatment	2
Samp_91	C	TE	Treatment	3
Samp_92	C	TE	Treatment	4
Samp_93	D	TE	Treatment	1
Samp_94	D	TE	Treatment	2
Samp_95	D	TE	Treatment	3
Samp_96	D	TE	Treatment	4
